item_id,item_content,question,response_true,response_distractors,word_nr
1,In," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",0
1,my," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",1
1,younger," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",2
1,and," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",3
1,more," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",4
1,vulnerable," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",5
1,years," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",6
1,my," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",7
1,father," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",8
1,gave," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",9
1,me," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",10
1,some," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",11
1,advice," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",12
1,that," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",13
1,I've," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",14
1,been," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",15
1,turning," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",16
1,over," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",17
1,in," ""Just remember that all the people in this world haven't had the _____ that you've had."""," ""advantages"""," ""fortune|luck""",18
